target_date,target,target_ahr999,implied_price,solved_ahr999,gma200_assumed,estimate_price
2026-10-01,2018_bottom_ahr,0.2717933583295227,57507.59782075891,0.2717933583295234,68487.85735335307,177663.4266734085
2026-10-01,2022_bottom_ahr,0.26671559810023543,56869.42294967071,0.26671559810023565,68251.34179270823,177663.4266734085
2026-10-01,hist_bottom_mean,0.2692544782148791,57189.12461173846,0.26925447821487997,68370.05485273022,177663.4266734085
2026-10-01,mild_bottom_0_45,0.45,77498.88390118454,0.4500000000000002,75124.28438909334,177663.4266734085
2026-10-01,deep_value_0_60,0.6,91880.57292260448,0.6000000000000018,79195.06224640418,177663.4266734085
2026-10-01,value_0_80,0.8,108931.11301254484,0.7999999999999999,83486.4243328803,177663.4266734085
2026-10-01,fair_1_00,1.0,120000.0,0.9421488283244926,86029.01401517127,177663.4266734085
2026-10-22,2018_bottom_ahr,0.2717933583295227,57957.58026496232,0.2717933583295221,68261.75993029359,181052.3514513163
2026-10-22,2022_bottom_ahr,0.26671559810023543,57293.909678881435,0.2667155981002353,67977.36617802494,181052.3514513163
2026-10-22,hist_bottom_mean,0.2692544782148791,57626.35405694264,0.26925447821487863,68120.08505978747,181052.3514513163
2026-10-22,mild_bottom_0_45,0.45,78855.97871655153,0.45000000000000095,76322.49677448522,181052.3514513163
2026-10-22,deep_value_0_60,0.6,94001.13369927742,0.6000000000000019,81341.23515397894,181052.3514513163
2026-10-22,value_0_80,0.8,112055.08168900255,0.8000000000000002,86689.99071040346,181052.3514513163
2026-10-22,fair_1_00,1.0,120000.0,0.8949630467644184,88869.59865701193,181052.3514513163
2026-11-05,2018_bottom_ahr,0.2717933583295227,58131.212789394995,0.2717933583295224,67814.05504517573,183341.26059145987
2026-11-05,2022_bottom_ahr,0.26671559810023543,57451.10074930989,0.26671559810023565,67497.56102095044,183341.26059145987
2026-11-05,hist_bottom_mean,0.2692544782148791,57791.759559207814,0.2692544782148798,67656.36905627062,183341.26059145987
2026-11-05,mild_bottom_0_45,0.45,79625.91244567191,0.44999999999999907,76848.6277975353,183341.26059145987
2026-11-05,deep_value_0_60,0.6,95283.85340193153,0.5999999999999982,82532.91057553772,183341.26059145987
2026-11-05,value_0_80,0.8,114020.83116241015,0.8000000000000025,88637.64420121757,183341.26059145987
2026-11-05,fair_1_00,1.0,120000.0,0.8682819027261254,90456.86449581785,183341.26059145987
